+,-,*,/,%,>,<,>=,<=,==,!=,||,&&,IDENTIFIER,LITERAL_INT,LITERAL_FLOAT,LITERAL_STRING,LITERAL_CHAR,null,stonks,not_stonks,[,],",",intijur,flote,bulen,strin,char,array,(,),!,;,=,let,if,{,},else,whil,coll,retun,funkshun,$,program,funcOrStatement,arithmeticOperator,relationalOperator,logicalOperator,operator,functionName,constant,booleanConstant,arrayConstant,commaConst,dataType,arrayType,elementType,varName,term,statement,declarationStatement,declare,letStatement,ifStatement,whileStatement,callStatement,returnStatement,expression,arrayExpression,commaExpr,functionDefinition,statements,parameterList,commaDataID,functionCall,commaTerm
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s11,s12,s13,s14,s15,s22,ee,e0,ee,ee,ee,s17,s18,ee,e1,ee,s19,s20,s21,ee,r4,ee,1.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,4.0,16.0,ee,ee,ee,3.0,5.0,ee,6.0,7.0,8.0,9.0,10.0,ee,ee,ee,2.0,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,acc,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s11,s12,s13,s14,s15,s22,ee,e0,ee,ee,ee,s17,s18,ee,e1,ee,s19,s20,s21,ee,r4,ee,23.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,4.0,16.0,ee,ee,ee,3.0,5.0,ee,6.0,7.0,8.0,9.0,10.0,ee,ee,ee,2.0,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s11,s12,s13,s14,s15,s22,ee,e0,ee,ee,ee,s17,s18,ee,e1,ee,s19,s20,s21,ee,r4,ee,24.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,4.0,16.0,ee,ee,ee,3.0,5.0,ee,6.0,7.0,8.0,9.0,10.0,ee,ee,ee,2.0,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s28,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,s25,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,27.0,ee,ee,ee,26.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r53,r53,r53,r53,r53,r53,ee,e0,ee,ee,ee,r53,r53,ee,r53,ee,r53,r53,r53,ee,r53,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r54,r54,r54,r54,r54,r54,ee,e0,ee,ee,ee,r54,r54,ee,r54,ee,r54,r54,r54,ee,r54,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r55,r55,r55,r55,r55,r55,ee,e0,ee,ee,ee,r55,r55,ee,r55,ee,r55,r55,r55,ee,r55,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r56,r56,r56,r56,r56,r56,ee,e0,ee,ee,ee,r56,r56,ee,r56,ee,r56,r56,r56,ee,r56,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r57,r57,r57,r57,r57,r57,ee,e0,ee,ee,ee,r57,r57,ee,r57,ee,r57,r57,r57,ee,r57,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r58,r58,r58,r58,r58,r58,ee,e0,ee,ee,ee,r58,r58,ee,r58,ee,r58,r58,r58,ee,r58,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r34,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r34,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r35,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r35,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r36,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r36,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r37,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r37,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r38,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r38,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r39,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,r39,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s28,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,29.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s30,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s31,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s34,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,32.0,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,s38,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,35.0,36.0,ee,ee,ee,ee,ee,42.0,ee
ee,ee,ee,ee,ee,ee,s54,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,r2,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,r3,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s34,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,55.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s56,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s58,ee,ee,ee,ee,ee,ee,ee,e0,ee,r60,s57,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r45,ee,r45,ee,ee,ee,ee,ee,ee,ee,e0,ee,r45,r45,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s59,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,s60,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,61.0,ee,ee,ee,ee,ee,ee,42.0,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,62.0,ee,ee,ee,ee,ee,ee,42.0,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s63,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s64,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r19,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s65,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s66,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
s77,s78,s79,s80,s81,s71,s72,s73,s74,s75,s76,s82,s83,ee,ee,ee,ee,ee,ee,ee,ee,ee,r80,r80,ee,ee,ee,ee,ee,ee,ee,r80,ee,r80,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,69.0,68.0,70.0,67.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,84.0,ee,ee,ee,ee,ee,ee,42.0,ee
r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,ee,ee,ee,ee,ee,ee,ee,ee,ee,r46,r46,ee,ee,ee,ee,ee,ee,ee,r46,ee,r46,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,ee,ee,ee,ee,ee,ee,ee,ee,s85,r47,r47,ee,ee,ee,ee,ee,ee,ee,r47,ee,r47,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
